Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
F-Pace,D240,R-Dynamic S,2024.5,86270,Navy,Sedona Red,"['DA012', 'IL010', 'EP004', 'CS014', 'IT006', 'CL018', 'CL002', 'EP005', 'LT004', 'CL014', 'RF001', 'CP004', 'LT018', 'SS005', 'WS009', 'AS003', 'IL002', 'DA004']"
Range Rover Sport,P530,Autobiography,2024.5,200950,Nimbus,Carpathian Grey,"['CS013', 'CL009', 'SS004', 'EP013', 'CL020', 'CL018', 'AS009', 'CV004', 'WS005', 'IL007', 'RF004', 'WS009', 'CS009', 'DA002', 'AS008', 'EP005']"
Range Rover,P615 SV,SE,2021.5,169512,Reims Blue,Pangea Green,"['SF022', 'LT006', 'EP001', 'IT010', 'SF009', 'SF006', 'SF010', 'WS001', 'CV011']"
Range Rover Velar,D300,S,2023.5,58576,Acorn,Sunset Gold Satin,"['CL008', 'CV001', 'SF005', 'SF006', 'CV002', 'IT010', 'WS001']"
Discovery,D250,SE,2020.5,51742,Titan,Indus Silver,"['SF005', 'EP002', 'SF008', 'CV010', 'WS001', 'CL010', 'IT009', 'DA001', 'IT004']"
Discovery Sport,D200,HSE,2022.5,57977,Siena Tan,Spectral British Racing Green,"['WS003', 'WS009', 'CV007', 'IL002', 'CL001', 'CV005', 'LT007', 'SF019', 'RF002', 'IT004']"
Discovery,P360,S,2024,58433,Robusta,Bright White,"['CL006', 'SF022', 'SF005', 'SF002', 'SF004', 'CV011']"
F-Pace,P575 SVR,R-Dynamic S,2024,165419,Light Oyster,Rossello Red,"['CL008', 'IL010', 'LT012', 'CP009', 'IL008', 'CP002', 'IT005', 'CV013', 'IL009', 'CL013', 'RF004', 'WS012', 'WS019', 'DA007', 'SS014', 'AS002', 'CV009', 'SS009']"
Range Rover Evoque,D180,S,2023.5,33966,Moonbeam,Ostuni Pearl White,"['SF010', 'SF009', 'CV002', 'SF022', 'LT005']"
Range Rover Sport,P510,SVR,2022,190079,Nimbus,Varesine Blue,"['IL009', 'WS013', 'CP010', 'DA006', 'LT004', 'EP002', 'CP001', 'CL007', 'RF002', 'IT024', 'EP014', 'SS005']"
Range Rover Velar,P400,S,2022.5,56828,Reims Blue,Silicon Silver,"['SF005', 'CV001', 'SF009', 'IT009', 'IT010', 'SF001']"
Range Rover Evoque,P200,S,2021,28844,Siena Tan,Aruba,"['SF001', 'SF002', 'IT010', 'SF008', 'SF020']"
Range Rover Evoque,D200,Dynamic SE,2024,43112,Titan,Silicon Silver,"['SF022', 'SF009', 'IT009', 'DA005', 'CV011', 'SF002', 'SF004', 'SF014', 'CV004', 'SF008', 'CL008', 'CL010']"
Range Rover Evoque,D200,Autobiography,2023,75744,Ivory,Spectral British Racing Green,"['WS016', 'AS007', 'WS018', 'CL008', 'WS004', 'DA017', 'IT013', 'EP015', 'CS015', 'CS011', 'EP003', 'LT003', 'RF002', 'IL006', 'CL005', 'CS010']"
Range Rover Sport,D300,Autobiography,2024,177804,Eclipse,Seoul Pearl Silver,"['IT012', 'DA001', 'CL016', 'AS009', 'LT013', 'WS008', 'IT006', 'CL013', 'CP006', 'WS014', 'CV009', 'DA002', 'IL006', 'RF001', 'CP009', 'IL011', 'SS010', 'DA009']"
F-Pace,P400,R-Dynamic HSE,2022,77232,Robusta,Silicon Silver,"['CL012', 'DA002', 'LT001', 'SF009', 'CV006', 'CV009', 'CV004', 'IT002', 'IT010', 'DA003', 'SF001']"
Defender,P635 Octa,X-Dynamic,2022,131084,Eclipse,Rossello Red,"['EP013', 'LT016', 'CL013', 'CP002', 'RF002', 'IL005', 'LT010', 'WS010', 'WS014', 'EP003', 'SF021', 'DA002', 'LT017']"
Range Rover Sport,D350,SVR,2022.5,192544,Cloud,Rossello Red,"['IT007', 'IL009', 'DA006', 'WS008', 'EP007', 'EP014', 'CV001', 'LT012', 'IL001', 'CL014', 'IT013', 'AS009', 'WS009', 'CV004']"
Discovery,P360,S,2020,42667,Eclipse,Balmoral Blue,"['SF022', 'SF009', 'WS001', 'SF004', 'EP001']"
Discovery,D250,SE,2022.5,57499,Dove,Spectral British Racing Green,"['DA005', 'SF002', 'SF004', 'LT006', 'SF014', 'SF005', 'SF003', 'SF010', 'WS001', 'SF011']"
Discovery,D300,SE,2024.5,70802,Siena Tan,Narvik Black,"['SF018', 'IT009', 'LT006', 'DA005', 'SF003', 'IT010', 'SF010', 'SF007', 'CV010', 'CL009', 'SF001', 'LT001']"
Range Rover,P460e PHEV SWB,HSE,2024.5,170150,Glacier White,Spectral British Racing Green,"['LT007', 'SF019', 'WS008', 'WS003', 'RF002', 'CV002', 'DA005', 'DA002', 'DA003']"
Range Rover Sport,P550e PHEV,Autobiography,2023,183362,Glacier White,Byron Blue,"['WS002', 'WS014', 'CP002', 'CV011', 'IT006', 'IL010', 'LT006', 'WS015', 'DA019', 'IT020', 'CP001', 'SF022', 'SS015']"
F-Pace,P575 SVR,R-Dynamic S,2023,149705,Nimbus,Ostuni Pearl White,"['WS018', 'LT002', 'WS009', 'IL002', 'CP004', 'CL016', 'CP005', 'WS014', 'CP010', 'CS003', 'CL006', 'CL014', 'LT015', 'CS007', 'LT004']"
Defender,P500 110,Octa,2020,154815,Ebony,Hakuba Silver,"['DA015', 'SS006', 'IL005', 'CP009', 'DA014', 'IT006', 'CL003', 'WS001', 'EP010', 'CL005', 'WS017', 'CV005', 'EP013', 'EP002']"
F-Pace,P575 SVR,R-Dynamic S,2024.5,150352,Copper,Portofino Blue,"['CV010', 'CP007', 'DA010', 'AS007', 'CV015', 'CS009', 'CV007', 'WS008', 'CV004', 'DA007', 'LT007', 'CV020', 'WS013']"
Discovery Sport,D200,HSE Luxury,2020,56910,Vintage Tan,Byron Blue,"['WS003', 'DA006', 'RF003', 'IT003', 'IL002', 'IT008', 'LT002', 'CL012', 'CL008', 'EP003', 'DA007', 'SF014']"
Discovery Sport,D200,HSE Luxury,2025,68904,Caraway,Eiger Grey,"['IT004', 'SF008', 'CL012', 'IT002', 'SF007', 'CV004', 'EP002', 'IL001', 'IL002', 'CL011']"
Discovery,D250,SE,2023,62822,Caraway,Spectral British Racing Green,"['EP002', 'SF011', 'SF005', 'WS002', 'CL009', 'SF004', 'CL008', 'DA005', 'SF009']"
Discovery Sport,P250,SE,2022.5,41938,Copper,Balmoral Blue,"['IT004', 'CV011', 'CV004', 'SF006', 'CV010', 'CL001', 'SF003', 'SF001', 'SF020', 'CV002', 'EP001', 'SF010']"
Range Rover Evoque,P300,S,2025,41040,Flame Red,Silicon Silver,"['SF005', 'IT010', 'WS001', 'CV002', 'IT009']"
Range Rover Velar,D300,Autobiography,2020,103030,Vintage Tan,Indus Silver,"['SF019', 'DA012', 'EP013', 'SS008', 'CP004', 'IT020', 'IL002', 'SS005', 'IL009', 'WS003', 'SF025', 'RF003', 'CP010', 'CP002', 'DA019', 'CL019']"
Defender,D300 130,HSE,2023.5,98517,Cloud,Aruba,"['EP002', 'SF001', 'WS008', 'DA002', 'RF002', 'CL008', 'IL002', 'CV009', 'WS003', 'LT001']"
Range Rover,P460e PHEV LWB,HSE,2023.5,192000,Navy,Byron Blue,"['IT005', 'CL011', 'IL002', 'RF003', 'IL001', 'DA002', 'CV005', 'DA006', 'WS009', 'EP002']"
Range Rover,P460e PHEV LWB,Autobiography,2021.5,212814,Ivory,Seoul Pearl Silver,"['IT002', 'SF015', 'EP013', 'IT020', 'IL009', 'CP004', 'AS006', 'IL006', 'DA006', 'CL012', 'EP010', 'WS015', 'LT001']"
Range Rover Velar,P400,S,2023,58955,Siena Tan,Bright White,"['CL006', 'SF003', 'CV002', 'IT009', 'DA001']"
Range Rover,P550e PHEV SWB,Autobiography,2024,217675,Cirrus,Causeway Grey,"['LT007', 'IT022', 'LT006', 'RF002', 'IT023', 'CV004', 'CL006', 'CP005', 'WS012', 'LT012', 'LT015', 'CL012', 'DA007', 'CS002', 'CP004']"
Range Rover,P530 SWB,SV,2024,268980,Siena Tan,Spectral British Racing Green,"['RF005', 'CP001', 'CP004', 'DA007', 'CL006', 'CL002', 'CV020', 'CL019', 'CP005', 'AS006', 'IL002', 'CV005', 'AS009', 'IT005', 'CV019', 'CL020']"
Defender,P300 130,Octa,2020,146700,Espresso,Pangea Green,"['DA006', 'AS010', 'IT018', 'CS007', 'CL007', 'EP015', 'IL003', 'CV009', 'WS017', 'SF006', 'WS019', 'CV006', 'IL012', 'CV005']"
Discovery Sport,P200,HSE Luxury,2025,68438,Siena Tan,Sedona Red,"['RF003', 'SF011', 'IL001', 'LT002', 'EP002', 'CV005', 'IT004', 'EP003', 'DA001', 'WS008']"
Range Rover,P460e PHEV SWB,SV,2021.5,229750,Siena Tan,Lantau Bronze,"['AS010', 'CV014', 'AS003', 'IT005', 'CL005', 'CS004', 'SS015', 'EP013', 'CP008', 'DA002', 'EP015', 'CV006', 'SF019', 'IT022', 'LT012', 'IT004', 'IT012', 'WS005']"
F-Pace,D200,R-Dynamic HSE,2021.5,69326,Titan,Ostuni Pearl White,"['CV006', 'DA003', 'IL005', 'CL009', 'WS009', 'SF001', 'SF015', 'EP003', 'IL002', 'IT008', 'LT001']"
Discovery Sport,P290,HSE,2022,56525,Nimbus,Cosmos Black,"['LT007', 'EP002', 'DA002', 'SF016', 'DA003', 'SF011', 'DA006', 'CL009', 'WS003', 'IL002', 'IT008', 'IL005']"
Range Rover,D350 LWB,HSE,2020,135137,Ivory,Cosmos Black,"['SF014', 'CV001', 'CL011', 'LT003', 'CL012', 'DA006', 'CV005', 'RF003', 'IL002', 'CV007', 'SF020', 'SF009']"
Defender,D240 90,Octa,2021,132407,Ivory,Lantau Bronze,"['CS001', 'WS003', 'IL010', 'CL013', 'CP006', 'SS015', 'CP002', 'SF003', 'DA018', 'CL004', 'RF001', 'IL011']"
Defender,D240 110,SE,2025,69433,Eclipse,Portofino Blue,"['WS008', 'WS010', 'IT002', 'IT009', 'IT010', 'SF008', 'WS006', 'SF005', 'EP008', 'SF001', 'DA005', 'SF020']"
Range Rover Sport,D300,Dynamic SE,2022,88072,Caraway,Balmoral Blue,"['LT006', 'CV001', 'CV002', 'SF011', 'SF022', 'SF018', 'DA005', 'WS002']"
Range Rover Sport,P460e PHEV,Dynamic S,2021,110440,Copper,Santorini Black,"['IT006', 'SS006', 'IL007', 'DA006', 'CP005', 'CP009', 'IL009', 'WS019', 'CL014', 'EP013', 'AS008', 'CV013', 'CV009']"
F-Pace,P400,SVR,2021,105395,Reims Blue,Hakuba Silver,"['CL008', 'CP003', 'CP001', 'IL002', 'LT013', 'CL011', 'CP006', 'CS014', 'IT015', 'CP005', 'AS004', 'DA016', 'WS015', 'CL003']"
Range Rover Evoque,D180,Dynamic SE,2024,41356,Nimbus,Sunset Gold Satin,"['CV002', 'IT010', 'EP002', 'IT009', 'SF005', 'SF010', 'WS002', 'CV011', 'CV010', 'SF009']"
Range Rover,D350 SWB,SE,2024.5,121200,Eclipse,Kaikoura Stone,"['EP001', 'SF005', 'WS002', 'DA001', 'IT010', 'SF008', 'SF006', 'SF007', 'SF002']"
Discovery,D300,SE,2022,58051,Copper,Sunset Gold Satin,"['CV001', 'CL001', 'IT010', 'CV002', 'SF011', 'LT006', 'SF010', 'SF014', 'CL010', 'IT001']"
Range Rover Velar,D240,Autobiography,2020,88350,Reims Blue,Cosmos Black,"['DA003', 'CL006', 'LT007', 'WS005', 'LT003', 'RF003', 'CP007', 'LT004', 'LT005', 'WS008', 'CL019', 'CL014']"
Discovery,P360,HSE,2021.5,75586,Dove,Hakuba Silver,"['DA003', 'CL012', 'WS003', 'IT003', 'SF011', 'SF002', 'SF001', 'LT001', 'RF002']"
Range Rover Velar,P250,S,2020.5,43158,Caraway,Cosmos Black,"['EP001', 'SF007', 'IT001', 'SF022', 'SF004', 'IT009', 'SF009']"
Range Rover,P460e PHEV LWB,Autobiography,2021,205597,Titan,Champagne Gold,"['CL014', 'IT001', 'WS004', 'WS013', 'LT018', 'RF003', 'CL004', 'CS009', 'EP002', 'CP004', 'RF005', 'LT001', 'AS006', 'CP006', 'IT020']"
Discovery Sport,P290,SE,2023,41146,Caraway,Champagne Gold,"['SF002', 'SF018', 'SF003', 'CL008', 'WS008', 'DA005', 'SF004', 'SF007', 'SF001']"
Discovery,P360,S,2021.5,49402,Glacier White,Portofino Blue,"['CV001', 'SF007', 'LT005', 'SF001', 'SF010', 'IT009', 'SF009']"
Discovery Sport,P290,SE,2023,37896,Navy,Bright White,"['SF004', 'SF020', 'SF014', 'IT009', 'SF006', 'SF022', 'SF008', 'CV010', 'CV011', 'WS001', 'SF009']"
F-Pace,D200,R-Dynamic HSE,2022,68502,Siena Tan,Hakuba Silver,"['SF007', 'WS003', 'SF006', 'IT011', 'DA003', 'WS009', 'CL010', 'SF001', 'CV005', 'LT006', 'CL003', 'DA006']"
Range Rover Sport,P510,Autobiography,2025,191720,Perlino,Eiger Grey,"['CP001', 'IT006', 'CL013', 'IT005', 'RF002', 'IT004', 'SF015', 'IT002', 'SF002', 'CV007', 'CS012', 'CP008', 'DA012']"
Range Rover Velar,P300,Dynamic HSE,2024.5,98450,Espresso,Pangea Green,"['IL005', 'CL011', 'WS002', 'SF022', 'DA003', 'DA006', 'CV006', 'CV010', 'IT002', 'LT002', 'WS009', 'IT001']"
Range Rover Velar,D300,Autobiography,2023.5,117263,Reims Blue,Firenze Red,"['IT012', 'CL009', 'CV014', 'LT020', 'CP001', 'IT005', 'DA002', 'IL001', 'IT015', 'AS005', 'DA017', 'CP004', 'CL007']"
Defender,P300 130,Octa,2022.5,184480,Cirrus,Rossello Red,"['CV006', 'RF005', 'SF015', 'DA017', 'CL016', 'IT012', 'AS009', 'DA020', 'CP002', 'AS002', 'WS019', 'EP005', 'CP009']"
Range Rover Sport,P440,SVR,2022.5,201730,Light Oyster,Narvik Black,"['CP005', 'WS003', 'DA016', 'IL004', 'RF003', 'CL014', 'IL005', 'CS002', 'CP008', 'CL001', 'CP007', 'CL008', 'CP004', 'IT012', 'CV003', 'CL011', 'LT002', 'IL010']"
Range Rover Velar,D300,S,2022.5,54777,Moonbeam,Pangea Green,"['SF010', 'SF020', 'SF002', 'SF009', 'CL006', 'WS001', 'CV001']"
Discovery Sport,D180,SE,2024,43136,Dove,Hakuba Silver,"['CV002', 'SF008', 'EP001', 'IT001', 'IT002', 'SF004', 'SF001', 'WS001', 'SF002', 'CL008', 'CL009', 'SF003']"
Discovery,D300,SE,2023,63978,Copper,Causeway Grey,"['SF002', 'DA005', 'IT009', 'CL008', 'SF005', 'SF008', 'EP002', 'CL009', 'WS001', 'SF004', 'SF003', 'CV010']"
F-Pace,P250,R-Dynamic HSE,2024.5,88980,Perlino,Champagne Gold,"['RF002', 'SF022', 'SF012', 'CV007', 'IL002', 'SF016', 'WS009', 'LT002', 'IL005', 'DA005', 'SF004', 'CL012', 'CL008', 'WS008', 'CV009']"
F-Pace,P300,R-Dynamic HSE,2025,94420,Cirrus,Champagne Gold,"['RF003', 'LT003', 'CV005', 'IT005', 'IL002', 'DA003', 'IT004', 'EP001', 'IL001']"
F-Pace,P400,R-Dynamic HSE,2022.5,80468,Perlino,Narvik Black,"['CL009', 'CL012', 'IT005', 'SF011', 'CL008', 'SF019', 'CV006', 'CV005', 'SF009', 'DA001', 'EP001', 'DA005', 'CL010']"
Range Rover Evoque,P250,S,2023.5,36728,Nimbus,Cosmos Black,"['LT005', 'CL008', 'CV011', 'CV001', 'SF006', 'SF004']"
Defender,D240 90,S,2021,38072,Navy,Eiger Grey,"['SF002', 'DA005', 'IT001', 'CL006', 'SF001', 'CL008']"
F-Pace,D240,R-Dynamic S,2021.5,76740,Titan,Carpathian Grey,"['CP004', 'WS005', 'CP001', 'LT002', 'EP004', 'DA018', 'CP008', 'CL002', 'IL002', 'EP014', 'CP007', 'DA017', 'IL010', 'CL005', 'IT004', 'IT018', 'CL015']"
Range Rover Sport,P530,Dynamic S,2022.5,125390,Navy,Rossello Red,"['WS015', 'EP010', 'CS013', 'AS006', 'WS018', 'CV007', 'WS005', 'RF003', 'DA008', 'IL009', 'WS011', 'CL015', 'CL016', 'DA016', 'DA002']"
Range Rover,P460e PHEV SWB,HSE,2021.5,144800,Nimbus,Santorini Black,"['LT002', 'CL011', 'CV006', 'IL005', 'SF008', 'CL001', 'DA006', 'IT011', 'SF006', 'CV004', 'RF003', 'WS009']"
Range Rover,P460e PHEV SWB,SV,2024.5,278550,Light Oyster,Rossello Red,"['RF002', 'IT007', 'IL009', 'WS008', 'CL017', 'IT006', 'LT018', 'AS002', 'WS004', 'WS015', 'CV004', 'IL010', 'AS009', 'CV014', 'IL006']"
Range Rover Velar,D240,Autobiography,2021,92168,Acorn,Sedona Red,"['IL012', 'EP005', 'DA016', 'WS003', 'RF001', 'IT011', 'EP015', 'LT013', 'DA008', 'SS004', 'CV002', 'CP009', 'AS005', 'CP001', 'CL009']"
Discovery Sport,P200,HSE Luxury,2023,59320,Reims Blue,Sedona Red,"['EP002', 'CL003', 'IT002', 'CV004', 'LT003', 'IT004', 'CL010', 'WS002', 'IT009', 'CL001', 'CV009']"
F-Pace,D240,R-Dynamic S,2023.5,75012,Light Oyster,Spectral British Racing Green,"['CP001', 'IL009', 'WS015', 'CL019', 'DA005', 'IL010', 'IT012', 'LT006', 'IT002', 'DA003', 'DA012', 'RF003']"
Range Rover Evoque,D200,S,2024,36189,Flame Red,Rossello Red,"['EP001', 'IT001', 'SF008', 'SF006', 'CL006']"
Defender,P400 130,HSE,2022.5,97175,Ivory,Indus Silver,"['SF009', 'IL001', 'CV010', 'IT005', 'IL002', 'CL011', 'LT002', 'WS008', 'IT002', 'CL009']"
Range Rover Sport,P460e PHEV,Dynamic HSE,2024.5,162550,Light Oyster,Balmoral Blue,"['LT003', 'RF003', 'CV005', 'IL005', 'CL012', 'DA002', 'LT007', 'IT005', 'CV006', 'SF008', 'EP003', 'DA006']"
Discovery Sport,P250,HSE,2023.5,56788,Ebony,Sedona Red,"['IT005', 'EP003', 'WS009', 'SF006', 'CL001', 'LT002', 'CL010', 'CL008', 'CV009']"
Range Rover Evoque,P200,Dynamic HSE,2023,59790,Moonbeam,Eiger Grey,"['CL010', 'EP003', 'SF019', 'CV006', 'LT006', 'CL008', 'SF001', 'IL002', 'LT003', 'CL012', 'IT005']"
Range Rover Sport,P400,Dynamic SE,2020.5,82885,Vintage Tan,Balmoral Blue,"['LT001', 'SF007', 'WS008', 'SF005', 'EP001', 'CV011', 'SF001', 'SF018', 'SF006', 'IT009', 'IT010', 'WS002']"
Range Rover Velar,D240,S,2023,55745,Flame Red,Lantau Bronze,"['CV004', 'SF003', 'CV011', 'RF001', 'IT007', 'SF008', 'SF022', 'SF005']"
Discovery Sport,P250,HSE Luxury,2024.5,75715,Vintage Tan,Champagne Gold,"['DA003', 'CV006', 'RF003', 'LT003', 'DA002', 'IT009', 'CL012', 'CV005', 'LT006', 'IL005', 'SF015', 'IT004', 'SF016', 'CV004']"
Range Rover Sport,P530,Dynamic HSE,2023.5,144510,Acorn,Sedona Red,"['SF014', 'IT008', 'SF020', 'SF019', 'RF002', 'SF005', 'IL002', 'SF018', 'CV007', 'DA005', 'WS003', 'CL012', 'CV004']"
Range Rover Sport,P530,Dynamic S,2024.5,129750,Ebony,Pangea Green,"['AS005', 'LT003', 'CV014', 'CP002', 'CL016', 'SF005', 'CS009', 'IT006', 'DA005', 'CV010', 'WS014', 'IT018', 'CV004', 'SF007']"
Range Rover,P530 LWB,SV,2023,278095,Cirrus,Lantau Bronze,"['IL009', 'CP009', 'CP002', 'SS011', 'DA006', 'DA012', 'LT011', 'CL006', 'RF005', 'IT021', 'CL005', 'IL001']"
Discovery,P300,HSE Luxury,2021,83840,Espresso,Kaikoura Stone,"['DA003', 'IT001', 'LT006', 'EP003', 'RF002', 'CV010', 'SF003', 'WS009', 'CL002', 'DA002', 'IT005']"
Discovery,D250,HSE,2020,76620,Dove,Gondwana Stone,"['CV004', 'CL003', 'CL002', 'SF011', 'IT002', 'IL002', 'EP002', 'SF006', 'CV005', 'CV007', 'RF002', 'IL005', 'DA002', 'IT010', 'WS003']"
F-Pace,P300,R-Dynamic S,2022,74310,Navy,Kaikoura Stone,"['AS002', 'WS014', 'WS012', 'IL010', 'WS003', 'LT004', 'CL007', 'IT005', 'EP013', 'CP007', 'CS014', 'IL004', 'WS009', 'CP010', 'IL006']"
Discovery,D250,HSE Luxury,2024,106717,Glacier White,Hakuba Silver,"['IT002', 'SF017', 'IL002', 'SF005', 'LT003', 'RF003', 'IT003', 'CL011', 'DA002', 'EP002', 'IL001', 'WS008', 'CL001', 'CV006']"
Range Rover Evoque,D180,Dynamic SE,2024.5,43290,Perlino,Santorini Black,"['IT001', 'IT010', 'EP002', 'SF022', 'SF004', 'CV011', 'SF005', 'CV004', 'IT009', 'SF001', 'SF003', 'CV010']"
Range Rover Velar,P400,Autobiography,2022,111008,Perlino,Hakuba Silver,"['DA018', 'CP001', 'IT002', 'DA002', 'CS015', 'LT003', 'CP003', 'CL002', 'SS014', 'IL005', 'EP014', 'IT006']"
Range Rover Velar,P250,Autobiography,2023,103930,Flame Red,Firenze Red,"['WS002', 'DA003', 'IT012', 'CV005', 'IT004', 'SF021', 'RF005', 'DA008', 'RF004', 'IT011', 'CL020', 'LT016', 'AS008']"
Range Rover Velar,D300,Dynamic HSE,2023,92082,Flame Red,Aruba,"['CV009', 'CL008', 'CL012', 'RF002', 'WS008', 'SF020', 'LT006', 'IT008', 'LT003', 'DA005', 'IT005']"
Defender,P400 130,S,2022.5,57241,Flame Red,Santorini Black,"['CV002', 'CV001', 'WS010', 'LT001', 'CL001']"
Range Rover Evoque,P200,Autobiography,2021.5,63070,Eclipse,Santorini Black,"['DA002', 'SS012', 'CS014', 'IL006', 'LT016', 'IL007', 'EP013', 'LT017', 'SF007', 'SS008', 'DA014', 'CP010', 'DA006', 'CS010', 'CL005', 'CP003', 'SF023']"
Range Rover Sport,P550e PHEV,SVR,2021,193795,Brogue,Ostuni Pearl White,"['CV010', 'CS006', 'WS013', 'LT009', 'CV011', 'CL015', 'IT012', 'CP002', 'CV009', 'RF002', 'CS009', 'CS001', 'EP015', 'CL008', 'CP004']"
Discovery,D300,SE,2021.5,55504,Vintage Tan,Indus Silver,"['CL001', 'IT001', 'SF005', 'SF009', 'SF018', 'SF003', 'LT006', 'SF007', 'SF002', 'CL008', 'SF022']"
Range Rover Velar,D300,Autobiography,2020.5,96895,Perlino,Pangea Green,"['DA018', 'RF004', 'LT005', 'SS005', 'LT017', 'IT010', 'IL006', 'CL002', 'LT016', 'CP009', 'DA014', 'SF022', 'SF012', 'EP015', 'EP007', 'CS002']"
Range Rover,P530 LWB,SV,2021.5,263085,Acorn,Santorini Black,"['CP009', 'IL005', 'CL011', 'CP001', 'DA003', 'CV014', 'AS002', 'IT012', 'WS015', 'IT015', 'DA008', 'EP015', 'CV015', 'IL002', 'IL009', 'CP002']"
Range Rover,P460e PHEV LWB,SV,2020,227725,Robusta,Causeway Grey,"['EP008', 'WS012', 'DA004', 'AS004', 'IT011', 'RF003', 'IT002', 'WS004', 'SF016', 'CP004', 'CP006', 'SF012', 'CP002']"
Range Rover Velar,P300,Autobiography,2023.5,117210,Espresso,Bright White,"['RF004', 'WS004', 'CS011', 'EP008', 'AS005', 'CV004', 'WS018', 'IT005', 'DA013', 'IL009', 'EP014', 'CV017']"
F-Pace,D200,R-Dynamic HSE,2022,74702,Brogue,Gondwana Stone,"['IT011', 'DA006', 'DA007', 'IL002', 'RF003', 'CL012', 'SF006', 'LT002', 'CL011', 'EP002', 'IT008', 'LT006', 'WS008']"
Range Rover Velar,P300,Dynamic SE,2025,76370,Brogue,Gondwana Stone,"['SF005', 'CV002', 'EP001', 'SF008', 'SF010', 'SF004', 'IT001', 'DA005', 'SF003', 'DA001', 'SF022', 'CV004']"
Range Rover Sport,P460e PHEV,Dynamic S,2021.5,109300,Ebony,Santorini Black,"['EP014', 'AS006', 'DA015', 'WS018', 'SF003', 'LT004', 'SS008', 'LT005', 'CL017', 'IL011', 'RF003', 'CL005', 'EP013']"
Range Rover Evoque,P200,Autobiography,2022.5,72768,Reims Blue,Causeway Grey,"['WS013', 'DA015', 'CP004', 'IT002', 'DA018', 'IL001', 'CV006', 'AS003', 'RF004', 'IT021', 'EP013', 'WS020']"
Range Rover Velar,P400,Autobiography,2022.5,99022,Ebony,Firenze Red,"['DA020', 'IL008', 'DA002', 'LT017', 'IL004', 'IL007', 'IT004', 'DA017', 'SF021', 'CS011', 'WS001', 'CV012', 'SF012']"
Range Rover Sport,D350,SVR,2020,151900,Reims Blue,Eiger Grey,"['CS007', 'EP004', 'CP002', 'EP013', 'AS005', 'WS009', 'CL005', 'SF011', 'CL018', 'DA018', 'IT008', 'CV019']"
F-Pace,P575 SVR,R-Dynamic S,2024.5,162602,Espresso,Santorini Black,"['SF024', 'CP002', 'LT003', 'LT019', 'AS004', 'EP015', 'AS010', 'CL005', 'IL010', 'EP007', 'RF004', 'IL009']"
Defender,D300 90,S,2020,37184,Brogue,Seoul Pearl Silver,"['IT010', 'IT007', 'SF002', 'WS011', 'EP008', 'IT009', 'SF009', 'CL006']"
Range Rover Velar,D300,Dynamic HSE,2025,108424,Siena Tan,Pangea Green,"['LT002', 'LT007', 'CL001', 'IL001', 'CL012', 'IT003', 'SF012', 'IT001', 'IT004', 'IL002', 'RF002', 'CV006', 'WS003']"
F-Pace,D240,R-Dynamic SE,2024.5,58455,Caraway,Aruba,"['CV002', 'SF006', 'SF020', 'CL008', 'SF022', 'SF010', 'SF007', 'SF005']"
Range Rover Evoque,P200,Dynamic SE,2023.5,38824,Moonbeam,Silicon Silver,"['EP001', 'SF007', 'DA005', 'WS001', 'SF018', 'SF003', 'SF020', 'CV010', 'LT006', 'SF009']"
Discovery Sport,D180,S,2023.5,32802,Espresso,Sedona Red,"['SF020', 'IT001', 'SF003', 'SF022', 'LT005', 'CL008']"
Range Rover Sport,P530,Dynamic HSE,2024,153990,Ebony,Cosmos Black,"['IT002', 'IT005', 'EP003', 'CL009', 'CL003', 'IT004', 'LT002', 'RF003', 'WS002', 'DA001', 'CV009', 'SF010', 'DA005']"
Defender,P300 90,S,2022.5,42352,Vintage Tan,Bright White,"['SF006', 'SF009', 'IT001', 'SF005', 'CV001', 'IT007']"
Defender,P300 90,X-Dynamic,2024,86978,Caraway,Spectral British Racing Green,"['SF018', 'CP005', 'DA004', 'WS003', 'DA002', 'CL003', 'DA003', 'IT002', 'LT002', 'WS009', 'DA015', 'IT006', 'EP015', 'LT015']"
F-Pace,P400,R-Dynamic SE,2020,47855,Navy,Rossello Red,"['IT009', 'SF014', 'SF003', 'DA001', 'CV010', 'SF004', 'CV002', 'SF001', 'EP001']"
Defender,P300 90,S,2020.5,36818,Dove,Byron Blue,"['CV002', 'SF002', 'WS001', 'CV001', 'LT005', 'SF010', 'SF001', 'SF009']"
Range Rover Evoque,P250,Autobiography,2023,72990,Brogue,Silicon Silver,"['SS003', 'IT005', 'CL012', 'CP005', 'CS008', 'IT002', 'IT021', 'WS003', 'IT017', 'IL004', 'DA005', 'IL006', 'CV010', 'CV005']"
Range Rover Sport,P635 SVR,Dynamic HSE,2023.5,298301,Siena Tan,Varesine Blue,"['CL011', 'CL012', 'WS009', 'IL002', 'DA003', 'EP002', 'DA005', 'WS008', 'CV007', 'RF003', 'CV009', 'CV005', 'LT001']"
Range Rover Evoque,D200,Autobiography,2024.5,88996,Brogue,Champagne Gold,"['WS016', 'WS013', 'RF002', 'CP005', 'WS008', 'DA007', 'IT005', 'IT002', 'DA009', 'AS004', 'CL009', 'EP013', 'IL001', 'CP002', 'CV007', 'LT017', 'WS004', 'EP009']"
